Word	Type	Frequency
累	C-VHC	34
一下子	X-Nd	13
搬到	X-VC	1
換到	X-VC	1
同意	X-VK	12
社工	C-Na	22
人員	C-Na	7
探訪	X-VC	7
費銳	C-Nb	1
強森	C-Nb	7
德新路	C-Nc	2
482號	X	21
24樓之三	X	4
關心	X-VK	73
老婆	C-Na	92
不再	F-D	22
別的	X-Neqa	11
懷疑	X-VK	27
能力	C-Na	279
養活	X-VC	6
爭取	X-VC	9
份	X-Nf	57
打工	C-VA	13
需要	X-VK	148
養	X-VC	7
四	X-Neu	18
加起來	X-VB	6
五萬	X-Neu	17
塊	X-Nf	39
案子	C-Na	9
每	X-Nes	56
更加	X-Dfa	1
增加	C-VHC	5
見到	X-VE	13
同時	X-Nd	8
常常	F-D	27
寄	C-VD	26
照片	C-Na	33
達成	X-VC	22
協議	C-Na	3
大家	X-Nh	6
聚聚	C-VA	1
媽媽	C-Na	28
老	C-VH	12
然而	F-Cbb	8
就算	F-Cbb	35
久留	C-VA	2
帶回去	X-VB	4
經歷	X-VJ	7
破碎	C-VH	1
關係	C-Na	54
爸爸	C-Na	17
奇怪	X-VK	3
費瑞強森	C-Nb	2
德行東路	C-Nc	12
請	X-VF	189
小孩	C-Na	60
全權	F-D	2
判給	C-VD	5
首先	F-D	17
能不能	F-D	2
好好	C-VH	10
養育	X-VC	1
考量	X-VE	10
正常	C-VH	15
足夠	C-VH	42
錢	C-Na	79
雙方	X-Nh	7
權利	C-Na	31
強調	X-VE	27
雖然	F-Cbb	43
辦	X-VC	3
過程	C-Na	29
傳	C-VD	86
安排出去	X-VB	1
相處	C-VA	25
媽	C-Na	4
久	C-VH	25
只有	F-D	41
大耶	C-Na	1
改變	X-VC	5
環境	C-Na	8
混淆	C-VHC	5
佛瑞強森	C-Nb	1
之3	X	11
之所以	F-Cbb	7
得到	X-VJ	62
全然	F-D	3
因素	C-Na	2
正職	C-VH	2
好幾	X-Neu	11
過活	C-VA	1
總共	X-Da	5
愛	X-VL	30
絕對	F-D	18
阻止	X-VC	10
仍	F-D	14
鼓勵	X-VF	4
多	X-Neqa	32
年老	C-VH	4
且	F-Cbb	4
主意	C-Na	1
那麼	F-Dk	12
那麼多	X-Neqa	4
變動	C-VHC	3
困惑	C-VH	5
意見	C-Na	8
一樓	C-Nc	1
陪	X-VC	6
聽聞	X-VE	2
男生	C-Na	4
完善	C-VH	2
疑慮	C-Na	4
很多	X-Neqa	66
穩定	C-VHC	49
夠	X-Dfa	10
可	F-D	3
案件	C-Na	4
賺到	X-VC	2
她麼	X-Nh	1
爸	C-Na	2
